Kulas,Alicia
Healthcare Practitioner and Technical,Healthcare Practitioner and Technical
Life Physical and Social Science,Business and Financial Operations
Computer and Mathematical,Arts Design Entertainment Sports Media
Educational Instruction and Library,Educational Instruction and Library
Office and Administrative Support,Office and Administrative Support
Other,Other
Healthcare Support,Healthcare Support
Educational Instruction and Library,Educational Instruction and Library
Sales and Related,Sales and Related
Computer and Mathematical,Other
Computer and Mathematical,Computer and Mathematical
Sales and Related,Management
Office and Administrative Support,Office and Administrative Support
Sales and Related,Sales and Related
Business and Financial Operations,Sales and Related
Office and Administrative Support,Management
Business and Financial Operations,Management
Other,Other
Architecture and Engineering,Architecture and Engineering
Personal Care and Service,Personal Care and Service
Other,Community and Social Service
Architecture and Engineering,Architecture and Engineering
Computer and Mathematical,Other
Architecture and Engineering,Architecture and Engineering
Business and Financial Operations,Arts Design Entertainment Sports Media
Personal Care and Service,Personal Care and Service
Computer and Mathematical,Arts Design Entertainment Sports Media
Business and Financial Operations,Healthcare Support
Business and Financial Operations,Arts Design Entertainment Sports Media
Production,Management
Transportation and Material Moving,Transportation and Material Moving
Architecture and Engineering,Architecture and Engineering
Office and Administrative Support,Office and Administrative Support
Other,Business and Financial Operations
Transportation and Material Moving,Transportation and Material Moving
Construction and Extraction,Construction and Extraction
Life Physical and Social Science,Other
Educational Instruction and Library,Educational Instruction and Library
Business and Financial Operations,Arts Design Entertainment Sports Media
Sales and Related,Business and Financial Operations
Sales and Related,Other
Business and Financial Operations,Management
Sales and Related,Business and Financial Operations
Installation Maintenance and Repair,Installation Maintenance and Repair
Life Physical and Social Science,Other
Sales and Related,Management
Architecture and Engineering,Production
Computer and Mathematical,Management
Business and Financial Operations,Business and Financial Operations
Architecture and Engineering,Computer and Mathematical
Sales and Related,Sales and Related
Sales and Related,Sales and Related
Food Preparation and Serving Related,Food Preparation and Serving Related
Business and Financial Operations,Sales and Related
Life Physical and Social Science,Other
Business and Financial Operations,Business and Financial Operations
Other,Computer and Mathematical
Architecture and Engineering,Production
Arts Design Entertainment Sports Media,Arts Design Entertainment Sports Media
Computer and Mathematical,Computer and Mathematical
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
